industry_description,total_injuries,total_deaths,total_dafw_cases,total_djtr_cases
	All Other Petroleum and Coal Products Manufacturing,0,0,0,0
"	Corporate, Subsidiary, and Regional Managing Offices",0,0,0,0
"""AG & CONSTRUCTION IMPLEMENT DEALER""",20,0,8,3
"""All Other Miscellaneous Fabricated Metal Product Manufacturing""",3,0,2,0
"""All Other Miscellaneous Wood Product Manufacturing""",35,0,12,0
"""Bread and Other Bakery Products""",3,0,0,2
"""Cash Grains, Not Elsewhere Classified""",1,0,1,0
"""Concrete Block and Brick Manufacturing""",19,0,7,0
"""Construction management, commercial and institutional building""",7,0,2,2
"""Corporate, subsidiary, and regional managing offices""",2,0,2,0
"""Cut Stock, Resawing Lumber, and Planing""",10,0,4,0
"""Dry Mixing Facility""",0,0,0,0
"""Farm Product Warehousing and Storage""",0,0,0,0
"""Fire alarm systems, electric, installation only""",2,0,0,1
"""Flour Milling""",52,0,22,14
"""Gasket, Packing, and Sealing Device Manufacturing""",6,0,2,3
"""General Automotive Repair""",0,0,0,0
"""General Freight Trucking, Long-Distance, Truckload""",1,0,0,0
"""General Warehousing and Storage""",188,0,41,4
"""Grain """,0,0,0,0
"""Grain and Field Beans""",5,0,1,3
"""Grain""",1,0,0,1
"""HVAC (heating, Ventilation and air-conditioning) contractors""",1,0,0,0
"""HVAC, Plumbing, Mechanical""",5,0,4,0
"""Hardware Manufacturing""",1,0,0,0
"""Highway, street, and bridge construction""",11,0,6,5
"""Home Centers""",2850,1,1131,29
"""In-vitro diagnostic substances manufacturing""",0,0,0,0
"""In-vitro diagnostics substances manufacturing""",8,0,5,3
"""Individual & Family Services""",0,0,0,0
"""Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables""",1,0,1,0
"""Laboratory analytical instruments (except optical) manufacturing""",3,0,0,0
"""Lessors of Nonresidential Buildings (except Miniwarehouses)""",0,0,0,0
"""Metal Window and Door Manufacturing""",2,0,0,0
"""OTHER CHEMICALS & ALLIED PRODUCTS MERCHANDISE WHOLESALE""",1,0,0,1
"""OTHER SCIENTIFIC & TECHNICAL CONSULTING SVCS.""",7,0,2,4
"""Other Business Service Centers (including Copy Shops)""",0,0,0,0
"""Plastics Material and Resin Manufacturing""",7,0,4,1
"""Residential Treatment/Shelter Service""",0,0,0,0
"""Rolled Steel Shape Manufacturing""",10,0,3,0
"""Sawmill, Woodworking, and Paper Machinery Manufacturing""",0,0,0,0
"""Sewer & Drain Cleaning, Plumbing""",191,0,105,45
"""Sewer & Drain Cleaning, Plumbing, Call center functions""",0,0,0,0
"""Sewer & Drain Cleaning, Plumbing, Home Office Administrative functions""",0,0,0,0
